,others,query,source,suggestion,title,word
antivibration,"[('vibration', 22)]",1,from matched products,vibration,0,antivibration
aok,[],9,from all products,,0,aok
apper,"[('paper', 789), ('per', 2010)]",14,from matched products,paper,0,apper
aprent,"[('argent', 20)]",1,from all products,argent,0,aprent
aprilaire,[],19,from all products,,0,aprilaire
arcfault,[],2,from bigrams,arc fault,0,arcfault
ardex,"[('arden', 12), ('carex', 21)]",4,from all products,,0,ardex
armboard,"[('board', 2077)]",10,from matched products,board,0,armboard
artifical,"[('artificial', 1324)]",8,from matched products,artificial,0,artifical
asa,"[('asian', 16), ('alsa', 32), ('casa', 124), ('pasta', 18)]",7,from all products,,0,asa
asher,"[('washer', 1726)]",4,from matched products,washer,0,asher
ashtabula,[],15,from all products,,0,ashtabula
ashwell,"[('shell', 102)]",12,from all products,shell,0,ashwell
askoll,[],2,from all products,,0,askoll
aspectmetal,[],3,from bigrams,aspect metal,0,aspectmetal
aspiradora,[],18,from all products,,0,aspiradora
assorment,"[('assortment', 170)]",13,from matched products,assortment,0,assorment
assy,"[('ass', 30), ('classy', 34), ('pass', 222), ('alsy', 12), ('easy', 979)]",8,from all products,ass,0,assy
astm,"[('stem', 240), ('ast', 12), ('cast', 992), ('fast', 213)]",18,from all products,ast,0,astm
atomatica,"[('automatic', 538), ('aromatic', 74)]",11,from all products,automatic,0,atomatica
atr,"[('water', 5094), ('gator', 44), ('after', 76), ('astro', 13), ('altra', 33), ('cator', 11), ('eater', 13)]",1,from all products,,0,atr
autofeeder,[],14,from all products,,0,autofeeder
awap,"[('wap', 17)]",11,from all products,wap,0,awap
awp,[],8,from all products,,0,awp
axxes,"[('axxys', 25), ('axe', 64), ('axess', 30)]",3,from all products,,0,axxes
azuvi,[],11,from all products,,0,azuvi
baag,"[('bag', 945), ('bags', 460)]",2,from matched products,bag,0,baag
bacco,"[('basco', 57)]",13,from matched products,basco,0,bacco
backbrace,[],1,from all products,,0,backbrace
backpocket,[],2,from bigrams,back pocket,0,backpocket
backsp,"[('backup', 196)]",9,from all products,backup,0,backsp
backsplashes,"[('backsplash', 437)]",19,from matched products,backsplash,0,backsplashes
bakewarte,"[('bakeware', 23)]",19,from matched products,bakeware,0,bakewarte
balafon,[],10,from all products,,0,balafon
ballaster,"[('baluster', 209)]",6,from matched products,baluster,0,ballaster
barden,"[('arden', 12)]",3,from matched products,arden,0,barden
barranco,[],18,from all products,,0,barranco
barreir,"[('barrier', 338)]",9,from matched products,barrier,0,barreir
basem,"[('base', 3763), ('based', 597)]",12,from matched products,base,0,basem
bathfan,[],17,from bigrams,bath fan,0,bathfan
bathfans,[],18,from bigrams,bath fans,0,bathfans
bathroomvanity,[],7,from bigrams,bathroom vanity,0,bathroomvanity
batte,"[('battery', 2753)]",9,from matched products,battery,0,batte
battery72517063,,11,added space before digit,battery 72517063,0,battery72517063
beadex,"[('beaded', 96)]",12,from matched products,beaded,0,beadex
beadez,"[('bead', 208)]",18,from matched products,bead,0,beadez
beekman,[],20,from all products,,0,beekman
behroil,"[('broil', 147)]",17,from all products,broil,0,behroil
behrwooden,[],10,from all products,,0,behrwooden
bener,"[('bender', 239), ('beer', 57), ('blender', 38), ('bee', 12), ('eer', 33)]",10,from all products,bender,0,bener
bentgrass,[],20,from all products,,0,bentgrass
bestair,"[('stair', 960)]",2,from all products,stair,0,bestair
bestine,[],20,from all products,,0,bestine
bestos,[],14,from all products,,0,bestos
bgr,[],5,from all products,,0,bgr
biax,[],14,from all products,,0,biax
bidat,"[('bidet', 110)]",6,from matched products,bidet,0,bidat
biech,"[('birch', 322)]",2,from matched products,birch,0,biech
bigass,[],1,from bigrams,big ass,0,bigass
biofuels,[],10,from all products,,0,biofuels
blash,"[('lash', 13), ('flash', 63), ('blush', 37), ('blast', 28), ('ash', 134), ('leash', 24)]",6,from all products,lash,0,blash
blk,"[('black', 13370)]",11,from matched products,black,0,blk
blong,"[('blown', 46), ('long', 1013), ('bog', 22), ('oblong', 13), ('blocking', 36), ('log', 246)]",13,from all products,oblong,0,blong
bluemax,[],1,from bigrams,blue max,0,bluemax
bluwood,[],13,from all products,,0,bluwood
boardman,[],9,from all products,,0,boardman
bolens,[],18,from all products,,0,bolens
boombox,[],13,from bigrams,boom box,0,boombox
bosche,"[('bosch', 1017)]",17,from matched products,bosch,0,bosche
boscobel,[],10,from all products,,0,boscobel
bostich,"[('bosch', 1017), ('bostitch', 104)]",9,from all products,bostitch,0,bostich
boxspring,[],2,from bigrams,box spring,0,boxspring
brakers,"[('breaker', 983)]",1,from matched products,breaker,0,brakers
brambury,"[('banbury', 190)]",9,from matched products,banbury,0,brambury
bramerton,[],12,from all products,,0,bramerton
brayer,"[('bayer', 51)]",13,from matched products,bayer,0,brayer
brinkman,"[('brinkmann', 239)]",27,from matched products,brinkmann,0,brinkman
browel,"[('trowel', 96)]",13,from matched products,trowel,0,browel
brownswitch,[],4,from all products,,0,brownswitch
bti,[],18,from all products,,0,bti
btype,"[('type', 1565)]",9,from all products,type,0,btype
bulbsu,"[('bulb', 4214)]",7,from matched products,bulb,0,bulbsu
bungie,"[('bungee', 111)]",9,from matched products,bungee,0,bungie
bunners,"[('burner', 1132), ('burners', 203)]",8,from matched products,burners,0,bunners
byass,"[('brass', 4407), ('bypass', 421)]",8,from matched products,bypass,0,byass
byefold,[],3,from all products,,0,byefold
cabi,"[('carb', 34), ('cabrio', 58), ('crab', 33), ('cab', 38), ('cabin', 45), ('cabo', 22)]",20,from all products,cabin,0,cabi
cabients,"[('cabinets', 144)]",17,from all products,cabinets,0,cabients
cabniets,"[('cabinet', 6494)]",2,from matched products,cabinet,0,cabniets
cair,"[('cars', 22), ('carb', 34), ('char', 156), ('care', 314), ('car', 162), ('chairs', 145), ('hair', 60), ('chair', 1785), ('air', 4677), ('coir', 65), ('pair', 677), ('cart', 696), ('card', 37)]",3,from all products,chair,0,cair
calton,"[('canton', 19)]",2,from matched products,canton,0,calton
campane,"[('champagne', 154)]",4,from all products,champagne,0,campane
canapies,"[('canopies', 14)]",17,from all products,canopies,0,canapies
canapu,[],8,from all products,,0,canapu
candels,"[('candles', 30)]",16,from matched products,candles,0,candels
canspot,[],14,from all products,,0,canspot
canster,"[('canister', 60), ('caster', 67), ('casters', 101)]",10,from all products,canister,0,canster
capipapia,[],5,from all products,,0,capipapia
capua,"[('cap', 2584)]",7,from all products,cap,0,capua
carla,"[('car', 162), ('cal', 206), ('ara', 20), ('carolina', 69), ('carlo', 69), ('carol', 17)]",10,from all products,,0,carla
carpetshampoo,[],11,from bigrams,carpet shampoo,0,carpetshampoo
carpt,"[('carpet', 1358)]",2,from matched products,carpet,0,carpt
carr,"[('cars', 22), ('carb', 34), ('char', 156), ('care', 314), ('car', 162), ('carter', 12), ('carry', 39), ('cart', 696), ('card', 37)]",7,from all products,carry,0,carr
cartelized,[],10,from all products,,0,cartelized
castiron,[],9,from bigrams,cast iron,0,castiron
cawls,"[('cal', 206)]",12,from all products,cal,0,cawls
ccl,"[('cycle', 397)]",3,from all products,cycle,0,ccl
ceadar,"[('cedar', 1377)]",13,from matched products,cedar,0,ceadar
celin,"[('lin', 58), ('ceiling', 4995), ('ceilings', 103)]",9,from all products,ceiling,0,celin
celing,"[('ceiling', 4995), ('ceilings', 103)]",6,from matched products,ceiling,0,celing
centerprise,"[('centerpiece', 14)]",8,from matched products,centerpiece,0,centerprise
ceto,"[('cetol', 56)]",9,from all products,cetol,0,ceto
cetolsrd,[],11,from bigrams,cetol srd,0,cetolsrd
chainlink,[],1,from bigrams,chain link,0,chainlink
chaosaw,[],6,from all products,,0,chaosaw
charbroi,[],10,from all products,,0,charbroi
charbroil,[],29,from bigrams,char broil,0,charbroil
chibli,"[('chili', 139)]",13,from matched products,chili,0,chibli
chinu,"[('china', 156)]",11,from matched products,china,0,chinu
chopsaw,[],4,from bigrams,chop saw,0,chopsaw
cincking,[],11,from all products,,0,cincking
clab,"[('clay', 274)]",12,from matched products,clay,0,clab
claissic,"[('classic', 1982), ('classico', 21), ('classics', 302)]",16,from all products,classic,0,claissic
cleane,"[('cleanser', 28), ('cleaner', 1249), ('clean', 463), ('cleaners', 32)]",10,from all products,cleaner,0,cleane
clivus,[],7,from all products,,0,clivus
closable,[],8,from all products,,0,closable
clr,"[('claro', 38), ('color', 1719), ('clark', 56), ('clear', 4134)]",2,from all products,,0,clr
coater,"[('carter', 12), ('coated', 762), ('caster', 67)]",20,from all products,,0,coater
coffee3,,12,added space before digit,coffee 3,0,coffee3
colared,[],8,from bigrams,cola red,0,colared
coldtemp,[],8,from all products,,0,coldtemp
colosso,[],8,from all products,,0,colosso
comealong,[],3,from bigrams,come along,0,comealong
comercialcarpet,[],17,from all products,,0,comercialcarpet
comi,"[('coil', 466), ('coin', 45), ('comb', 16), ('omni', 24), ('com', 49), ('comp', 84), ('coir', 65)]",16,from all products,com,0,comi
commercail,"[('commercial', 2252)]",14,from matched products,commercial,0,commercail
compamia,"[('compania', 1)]",1,from matched products,compania,0,compamia
compendent,"[('component', 60), ('pendent', 26)]",11,from all products,component,0,compendent
composit,"[('composite', 2323), ('composition', 18), ('compost', 35)]",9,from all products,composite,0,composit
compressro,"[('compressor', 458)]",17,from matched products,compressor,0,compressro
conc,"[('con', 151), ('coco', 81), ('coca', 47), ('coin', 45), ('sconce', 439), ('icon', 21), ('corn', 47), ('once', 13), ('cone', 184), ('cognac', 198)]",4,from all products,con,0,conc
concretetile,[],3,from bigrams,concrete tile,0,concretetile
cond,"[('con', 151), ('cold', 309), ('pond', 217), ('cord', 1151), ('coin', 45), ('icon', 21), ('corn', 47), ('bond', 223), ('code', 70), ('cod', 117), ('cone', 184)]",15,from all products,,0,cond
condit,"[('conduit', 649)]",14,from all products,conduit,0,condit
condulets,[],5,from all products,,0,condulets
congoleum,[],17,from all products,,0,congoleum
controle,"[('control', 2446)]",10,from matched products,control,0,controle
corelais,"[('coralais', 33)]",11,from all products,coralais,0,corelais
corio,"[('scorpion', 12), ('cuori', 17), ('cri', 187), ('rio', 35), ('orion', 20), ('corso', 11)]",11,from all products,,0,corio
corne,"[('corner', 1945)]",16,from matched products,corner,0,corne
cornershower,[],13,from bigrams,corner shower,0,cornershower
corsar,[],8,from all products,,0,corsar
cothom,[],10,from all products,,0,cothom
couchen,"[('couch', 4)]",10,from matched products,couch,0,couchen
could,"[('cold', 309), ('old', 415), ('cod', 117), ('col', 43), ('cloud', 36)]",8,from all products,cold,0,could
coving,"[('covering', 100), ('moving', 82), ('coping', 13), ('coring', 16)]",8,from all products,covering,0,coving
craftsm,"[('crafts', 84), ('craftsman', 663), ('craft', 209), ('craftsmen', 75)]",9,from all products,crafts,0,craftsm
cranner,"[('crane', 51)]",8,from matched products,crane,0,cranner
csm,"[('cosmo', 15)]",2,from all products,cosmo,0,csm
cubicel,"[('cubicle', 1)]",1,from matched products,cubicle,0,cubicel
cucbi,"[('cub', 431), ('ubi', 43)]",4,from all products,,0,cucbi
curlex,[],1,from all products,,0,curlex
custo,"[('custom', 1621), ('cut', 1140)]",3,from matched products,custom,0,custo
cutte,"[('cutter', 562)]",11,from matched products,cutter,0,cutte
cuv,"[('curve', 77)]",8,from all products,curve,0,cuv
cwg,[],5,from all products,,0,cwg
cypermethrin,[],22,from all products,,0,cypermethrin
dacor,"[('danco', 510), ('ancor', 48), ('decor', 943), ('racor', 33), ('acorn', 31), ('dasco', 41)]",5,from all products,,0,dacor
dampiner,"[('dampener', 17)]",5,from matched products,dampener,0,dampiner
danika,[],10,from all products,,0,danika
dcf,[],11,from all products,,0,dcf
dcon,"[('con', 151)]",2,from matched products,con,0,dcon
deadblow,[],2,from bigrams,dead blow,0,deadblow
deask,"[('dek', 18), ('ideas', 34), ('desk', 327)]",12,from all products,desk,0,deask
decarail,"[('deckorail', 84)]",5,from matched products,deckorail,0,decarail
deckpaint,[],18,from bigrams,deck paint,0,deckpaint
decostrip,[],5,from all products,,0,decostrip
dectot,[],4,from all products,,0,dectot
deg,[],7,from all products,,0,deg
dehimid,[],11,from all products,,0,dehimid
dep,"[('deep', 1214)]",2,from matched products,deep,0,dep
detecter,"[('detector', 134)]",5,from all products,detector,0,detecter
discon,"[('edison', 63)]",10,from all products,edison,0,discon
dlight,"[('light', 19307)]",11,from matched products,light,0,dlight
dobble,"[('cobble', 12), ('double', 4771)]",2,from all products,,0,dobble
dolled,"[('rolled', 76)]",6,from matched products,rolled,0,dolled
doly,"[('dolly', 105)]",10,from matched products,dolly,0,doly
doorguard,[],3,from bigrams,door guard,0,doorguard
doors32x78,,10,added space before digit,doors 32x78,0,doors32x78
doorsmoocher,[],12,from all products,,0,doorsmoocher
dorada,"[('dorado', 21)]",1,from all products,dorado,0,dorada
doublesided,[],7,from bigrams,double sided,0,doublesided
doug,"[('dog', 556), ('dogs', 43)]",6,from all products,dog,0,doug
dpdt,[],3,from all products,,0,dpdt
dracket,"[('drake', 30), ('bracket', 1253)]",11,from all products,bracket,0,dracket
dreme,"[('dream', 29)]",16,from matched products,dream,0,dreme
dreyns,[],7,from all products,,0,dreyns
drione,[],15,from all products,,0,drione
drp,"[('drop', 705)]",8,from matched products,drop,0,drp
drumel,"[('dremel', 303)]",12,from matched products,dremel,0,drumel
drye,"[('dye', 41), ('dry', 672), ('dryden', 35), ('dryer', 1185), ('drydex', 24)]",4,from all products,dryer,0,drye
dryvit,[],1,from all products,,0,dryvit
dsown,"[('own', 54), ('dyson', 35), ('down', 719)]",3,from all products,down,0,dsown
duking,"[('decking', 246)]",15,from matched products,decking,0,duking
dule,"[('dual', 2278), ('rule', 16), ('mule', 123), ('dune', 109), ('double', 4771), ('duplex', 761), ('idle', 21), ('module', 220), ('dale', 119), ('duet', 159)]",2,from all products,,0,dule
dupioni,[],3,from all products,,0,dupioni
duratemp,[],9,from all products,,0,duratemp
dutchlap,[],16,from bigrams,dutch lap,0,dutchlap
dwall,"[('dewalt', 2373)]",1,from matched products,dewalt,0,dwall
dymonic,[],6,from all products,,0,dymonic
eastbay,[],2,from bigrams,east bay,0,eastbay
easylight,[],9,from bigrams,easy light,0,easylight
eathgrow,"[('earthgro', 34)]",3,from matched products,earthgro,0,eathgrow
ecobulb,[],2,from all products,,0,ecobulb
edod,"[('edo', 19)]",10,from matched products,edo,0,edod
edsel,"[('edsal', 237)]",16,from matched products,edsal,0,edsel
eglimgton,[],11,from all products,,0,eglimgton
electral,"[('electrical', 579)]",9,from all products,electrical,0,electral
electrica,"[('electric', 6579)]",5,from matched products,electric,0,electrica
emp,"[('tempo', 95), ('empty', 37), ('temp', 346)]",12,from all products,temp,0,emp
ennox,"[('lennox', 11)]",9,from matched products,lennox,0,ennox
ensley,"[('hensley', 17)]",7,from matched products,hensley,0,ensley
entrydoors,[],18,from bigrams,entry doors,0,entrydoors
envios,"[('enviro', 35)]",3,from all products,enviro,0,envios
epilateur,"[('epilator', 3)]",2,from matched products,epilator,0,epilateur
ept,"[('depth', 634), ('depot', 265), ('empty', 37)]",18,from all products,,0,ept
estore,"[('restore', 309)]",10,from matched products,restore,0,estore
euroloft,[],18,from all products,,0,euroloft
eurotherm,[],12,from all products,,0,eurotherm
evap,"[('eva', 93)]",31,from all products,eva,0,evap
evendale,[],12,from all products,,0,evendale
everbuilt,"[('everbilt', 3386)]",10,from matched products,everbilt,0,everbuilt
evergrain,[],6,from all products,,0,evergrain
exacto,"[('acto', 3)]",11,from matched products,acto,0,exacto
exhaustless,[],6,from all products,,0,exhaustless
exp,[],20,from all products,,0,exp
exteriordoors,[],20,from bigrams,exterior doors,0,exteriordoors
fabris,"[('fabric', 730)]",4,from all products,fabric,0,fabris
fairlawn,[],3,from all products,,0,fairlawn
fameless,"[('frameless', 604)]",11,from all products,frameless,0,fameless
fan25522,,13,added space before digit,fan 25522,0,fan25522
fanall,[],10,from all products,,0,fanall
fantdoors,[],1,from all products,,0,fantdoors
fasad,"[('fasade', 274)]",3,from matched products,fasade,0,fasad
fastcap,[],1,from all products,,0,fastcap
faul,"[('fuel', 823), ('fault', 28), ('azul', 13), ('faux', 668), ('fall', 281), ('full', 1477), ('paul', 275)]",11,from all products,fault,0,faul
felx,"[('fuel', 823), ('flex', 741), ('flux', 32), ('feel', 41), ('felt', 83)]",2,from all products,,0,felx
felxfx,[],9,from all products,,0,felxfx
ffill,"[('fill', 100)]",9,from matched products,fill,0,ffill
fhnt,"[('fnpt', 51)]",11,from all products,fnpt,0,fhnt
fierenz,"[('firenze', 23)]",7,from matched products,firenze,0,fierenz
fija,"[('fiji', 11)]",10,from matched products,fiji,0,fija
filerts,"[('filter', 2519)]",8,from matched products,filter,0,filerts
fireglass,[],10,from bigrams,fire glass,0,fireglass
fireless,"[('wireless', 1001), ('frameless', 604)]",2,from all products,wireless,0,fireless
firepot,[],11,from bigrams,fire pot,0,firepot
firter,"[('filter', 2519)]",3,from matched products,filter,0,firter
fitt,"[('fits', 306), ('fit', 570), ('feit', 280), ('fipt', 60), ('fitter', 150)]",20,from all products,fit,0,fitt
flaire,"[('flair', 49), ('flared', 16), ('flare', 96)]",9,from all products,,0,flaire
flexlock,[],13,from bigrams,flex lock,0,flexlock
floaties,[],10,from all products,,0,floaties
flomaster,[],3,from bigrams,flo master,0,flomaster
floorong,"[('floor', 5203)]",15,from matched products,floor,0,floorong
floot,"[('floor', 5203)]",8,from matched products,floor,0,floot
floratam,[],5,from all products,,0,floratam
florcant,[],16,from all products,,0,florcant
florent,"[('foret', 62)]",11,from all products,foret,0,florent
flotex,"[('flotec', 74)]",18,from matched products,flotec,0,flotex
flushmate,[],8,from all products,,0,flushmate
fma,"[('forma', 25)]",10,from all products,forma,0,fma
foof,"[('foot', 752), ('roof', 941), ('food', 391), ('goof', 99)]",10,from all products,,0,foof
fosle,[],11,from all products,,0,fosle
fost,"[('foss', 61), ('foot', 752), ('frosty', 19), ('post', 3138), ('forest', 376), ('most', 23), ('frost', 784), ('fast', 213)]",3,from all products,frost,0,fost
fpv,[],13,from all products,,0,fpv
frazee,[],12,from all products,,0,frazee
frenchwood,[],2,from bigrams,french wood,0,frenchwood
friedrich,[],2,from all products,,0,friedrich
frig,"[('ring', 1039)]",16,from matched products,ring,0,frig
frontload,[],7,from bigrams,front load,0,frontload
froses,"[('roses', 42)]",8,from all products,roses,0,froses
fsu,[],11,from all products,,0,fsu
fyrpon,"[('fypon', 172)]",10,from matched products,fypon,0,fyrpon
gaceno,[],8,from all products,,0,gaceno
galllon,"[('gallon', 59)]",13,from all products,gallon,0,galllon
gallondrywall,[],5,from all products,,0,gallondrywall
galloon,"[('gallon', 59)]",9,from all products,gallon,0,galloon
garagedoor,[],2,from bigrams,garage door,0,garagedoor
garde,"[('garden', 2287)]",22,from matched products,garden,0,garde
gardena,"[('garden', 2287)]",9,from matched products,garden,0,gardena
gasquet,"[('gasket', 196)]",10,from matched products,gasket,0,gasquet
gate0,,16,added space before digit,gate 0,0,gate0
gbi,[],8,from all products,,0,gbi
gelco,"[('gelcoat', 102)]",9,from matched products,gelcoat,0,gelco
geospring,[],5,from all products,,0,geospring
geotextile,[],19,from all products,,0,geotextile
gfic,"[('gfci', 349)]",18,from matched products,gfci,0,gfic
giga,"[('gig', 1)]",1,from matched products,gig,0,giga
gilmore,[],11,from all products,,0,gilmore
gimmble,"[('gimbal', 57)]",2,from matched products,gimbal,0,gimmble
glass3,,1,added space before digit,glass 3,0,glass3
glauder,[],10,from all products,,0,glauder
glifo,"[('glo', 190)]",11,from all products,glo,0,glifo
gll,"[('grill', 1473), ('gull', 384)]",3,from all products,gull,0,gll
glm,"[('glam', 24)]",3,from all products,glam,0,glm
glulam,[],2,from all products,,0,glulam
goldroyalty,"[('royalty', 6)]",7,from matched products,royalty,0,goldroyalty
gooba,[],4,from all products,,0,gooba
gpx,[],9,from all products,,0,gpx
granit,"[('granite', 1681)]",1,from matched products,granite,0,granit
greaseless,[],10,from all products,,0,greaseless
gregio,"[('grigio', 20)]",1,from matched products,grigio,0,gregio
grib,"[('grip', 1155)]",9,from matched products,grip,0,grib
gridlee,"[('griddle', 87)]",12,from matched products,griddle,0,gridlee
grils,"[('grill', 1473)]",5,from matched products,grill,0,grils
grippy,[],3,from all products,,0,grippy
gsilestone,"[('silestone', 115)]",12,from all products,silestone,0,gsilestone
gte,"[('gates', 30), ('gate', 1067), ('grate', 308)]",15,from all products,gate,0,gte
gwtters,"[('gutters', 12)]",12,from all products,gutters,0,gwtters
hacr,"[('char', 156), ('acre', 19), ('hair', 60), ('hard', 355), ('hack', 35), ('hart', 19), ('hvac', 116)]",10,from all products,,0,hacr
haggerty,[],7,from all products,,0,haggerty
hallodoor,[],17,from all products,,0,hallodoor
hampton30,,9,added space before digit,hampton 30,0,hampton30
handtools,[],16,from bigrams,hand tools,0,handtools
hattic,"[('attic', 383)]",8,from matched products,attic,0,hattic
hdk,[],3,from all products,,0,hdk
headger,"[('edger', 460), ('hedge', 338), ('header', 94)]",7,from all products,header,0,headger
heatgasget,[],2,from all products,,0,heatgasget
heatwave,[],2,from all products,,0,heatwave
heculine,[],2,from all products,,0,heculine
hexhead,[],16,from bigrams,hex head,0,hexhead
hexpin,[],5,from all products,,0,hexpin
himalya,"[('himalaya', 13)]",1,from matched products,himalaya,0,himalya
hindges,"[('hinge', 821), ('hinges', 147)]",18,from all products,hinges,0,hindges
hobbycrafter,[],16,from all products,,0,hobbycrafter
homedepot,[],10,from bigrams,home depot,0,homedepot
hoo,"[('photo', 54), ('hooks', 265), ('hook', 969), ('hoods', 16), ('hood', 708)]",15,from all products,,0,hoo
hooverwindtunnel,[],11,from bigrams,hoover windtunnel,0,hooverwindtunnel
hottubs,[],3,from bigrams,hot tubs,0,hottubs
hotwater,[],1,from bigrams,hot water,0,hotwater
hprse,"[('horse', 73)]",12,from matched products,horse,0,hprse
hucky,"[('husky', 1651)]",8,from matched products,husky,0,hucky
hummert,[],8,from all products,,0,hummert
hvm,[],14,from all products,,0,hvm
hxh,[],6,from all products,,0,hxh
hydrolic,"[('hydraulic', 47)]",3,from matched products,hydraulic,0,hydrolic
hypalon,[],9,from all products,,0,hypalon
iba,"[('libra', 27)]",11,from all products,libra,0,iba
ibeam,"[('beam', 191), ('beams', 85)]",15,from matched products,beam,0,ibeam
icey,"[('ice', 744)]",11,from matched products,ice,0,icey
idylis,[],13,from all products,,0,idylis
iftin,[],12,from all products,,0,iftin
iile,"[('pile', 16)]",3,from matched products,pile,0,iile
iiluminart,"[('illuminart', 7)]",2,from matched products,illuminart,0,iiluminart
ilet,"[('inlet', 253)]",1,from matched products,inlet,0,ilet
ilumination,[],10,from all products,,0,ilumination
inanchor,"[('anchors', 219)]",4,from matched products,anchors,0,inanchor
incerts,"[('inserts', 50)]",9,from all products,inserts,0,incerts
inchesside,[],8,from all products,,0,inchesside
inferni,"[('inferno', 19)]",11,from matched products,inferno,0,inferni
inovations,"[('innovations', 67)]",1,from matched products,innovations,0,inovations
insh,"[('bins', 38), ('pins', 54), ('fish', 66), ('insl', 28), ('finish', 1478), ('inch', 131), ('dish', 95)]",1,from all products,finish,0,insh
insol,"[('insoles', 12), ('insl', 28), ('sol', 14), ('iso', 13)]",17,from all products,insl,0,insol
instastart,[],5,from all products,,0,instastart
instock,"[('stock', 129)]",4,from all products,stock,0,instock
int,"[('paint', 5565), ('pint', 94)]",17,from matched products,pint,0,int
internet202627028,,8,added space before digit,internet 202627028,0,internet202627028
islating,"[('insulating', 110)]",1,from all products,insulating,0,islating
itself,"[('self', 2973)]",15,from matched products,self,0,itself
jeldwen,[],76,from bigrams,jeld wen,0,jeldwen
jirdon,"[('jerdon', 17)]",14,from all products,jerdon,0,jirdon
joisthangers,[],16,from all products,,0,joisthangers
josie,"[('jobsite', 56), ('jalousie', 18), ('joe', 288), ('osi', 25)]",11,from all products,jobsite,0,josie
jrc,[],8,from all products,,0,jrc
juera,[],15,from all products,,0,juera
kaindl,[],11,from all products,,0,kaindl
kalkey,[],9,from all products,,0,kalkey
kally,"[('kelly', 14)]",1,from matched products,kelly,0,kally
karacolor,[],1,from all products,,0,karacolor
kelton,"[('kelston', 23)]",7,from matched products,kelston,0,kelton
kendalwood,[],13,from all products,,0,kendalwood
kenken,[],3,from all products,,0,kenken
keystock,[],2,from bigrams,key stock,0,keystock
kichler,[],1,from all products,,0,kichler
kidco,[],10,from all products,,0,kidco
kiiz,"[('kilz', 107)]",14,from all products,kilz,0,kiiz
killeen,"[('kleen', 81)]",9,from all products,kleen,0,killeen
killerique,[],3,from all products,,0,killerique
kimtec,"[('kimtech', 2), ('kimtex', 1)]",2,from matched products,kimtech,0,kimtec
kindorf,[],11,from all products,,0,kindorf
kitchenfaucet,[],2,from bigrams,kitchen faucet,0,kitchenfaucet
kitching,[],15,from all products,,0,kitching
knicken,"[('nickel', 6553)]",8,from matched products,nickel,0,knicken
knurling,[],8,from all products,,0,knurling
kobalt,"[('cobalt', 95)]",18,from all products,cobalt,0,kobalt
koehler,"[('kohler', 3365)]",1,from matched products,kohler,0,koehler
kohlerdrop,[],7,from all products,,0,kohlerdrop
koler,"[('older', 15), ('kohler', 3365)]",3,from all products,kohler,0,koler
koolaroo,"[('coolaroo', 95)]",15,from matched products,coolaroo,0,koolaroo
kraftsman,"[('craftsman', 663)]",3,from matched products,craftsman,0,kraftsman
krylon,[],45,from all products,,0,krylon
kti,[],10,from all products,,0,kti
ktoilet,"[('toilet', 2745), ('toilets', 95)]",2,from matched products,toilet,0,ktoilet
kwal,"[('wal', 130), ('walk', 697), ('wall', 14159)]",12,from all products,wal,0,kwal
kyobi,"[('ryobi', 2010)]",12,from matched products,ryobi,0,kyobi
